message_id,group_id,session_id,student_id,timestamp,text
M00054,G12,studio_1,S013,2026-09-10T16:06:50,putting the reading at the top of the doc
M00055,G22,studio_1,S093,2026-09-10T16:06:56,alright the testing effect showed up even in the ungraded condition which is the interesting part lol
M00056,G08,studio_1,S047,2026-09-10T16:07:13,alright honestly chunking is basically why the experts in the study looked faster what do you think
M00057,G09,studio_1,S036,2026-09-10T16:07:17,yeah can someone paste the example sorry if that is obvious
M00058,G16,studio_1,S007,2026-09-10T16:07:23,you two are on a roll
M00059,G20,studio_1,S089,2026-09-10T16:07:38,hmm honestly recognizing it in the notes is not the same as producing it right
M00060,G08,studio_1,S068,2026-09-10T16:07:39,let's split this four ways?
M00061,G19,studio_1,S066,2026-09-10T16:07:39,let's each take three minutes to write first
M00062,G15,studio_1,S032,2026-09-10T16:07:41,alright do you mean the reading or the other one what do you think
M00063,G09,studio_1,S082,2026-09-10T16:07:43,ok i'm following now
M00064,G19,studio_1,S003,2026-09-10T16:07:55,oh we could open with the difference between recognizing and producing lol
M00065,G14,studio_1,S074,2026-09-10T16:07:58,"yeah not sure, but our example should be the blank page recall one lol"
M00066,G11,studio_1,S081,2026-09-10T16:07:59,yeah honestly i think recall beats rereading for us because the exam is all application
M00067,G17,studio_1,S016,2026-09-10T16:08:16,right let's each take four minutes to write first
M00068,G01,studio_1,S056,2026-09-10T16:08:16,that makes sense sorry if that is obvious
M00069,G17,studio_1,S062,2026-09-10T16:08:17,our example should be the blank page recall one
M00070,G19,studio_1,S008,2026-09-10T16:08:21,so cues matter as much as effort when you are trying to bring something back if that works for everyone
M00071,G20,studio_1,S119,2026-09-10T16:08:22,hey putting the handout at the top of the doc
M00072,G23,studio_1,S114,2026-09-10T16:08:28,hmm someone should own part 2 if that works for everyone
M00073,G11,studio_1,S092,2026-09-10T16:08:31,"counterpoint, the testing effect showed up even in the ungraded condition which is the interesting part sorry if that is obvious"
M00074,G10,studio_1,S083,2026-09-10T16:08:38,"yeah from the reading, i think recall beats rereading for us because the exam is all application"
M00075,G01,studio_1,S033,2026-09-10T16:08:39,that is a great way to put it sorry if that is obvious
M00076,G20,studio_1,S112,2026-09-10T16:08:41,wait let's timebox this to twenty minutes
M00077,G23,studio_1,S024,2026-09-10T16:09:00,hey sorry can you repeat that does that track
M00078,G13,studio_1,S012,2026-09-10T16:09:03,wait that is a great way to put it
M00079,G14,studio_1,S065,2026-09-10T16:09:20,so should we outline first what do you think
M00080,G11,studio_1,S092,2026-09-10T16:09:23,ok do you mean the transcript or the other one what do you think
M00081,G16,studio_1,S070,2026-09-10T16:09:27,so which the rubric are we on
M00082,G11,studio_1,S092,2026-09-10T16:09:33,i'll write up the definitions?
M00083,G22,studio_1,S096,2026-09-10T16:09:45,we have four minutes left what do you think
M00084,G22,studio_1,S027,2026-09-10T16:09:45,so maybe the forgetting curve thing only worked for me when i spaced it out right
M00085,G10,studio_1,S009,2026-09-10T16:09:46,"oh counterpoint, the forgetting curve thing only worked for me when i spaced it out if that works for everyone"
M00086,G04,studio_1,S102,2026-09-10T16:09:56,alright hi all
M00087,G03,studio_1,S037,2026-09-10T16:10:00,hey i can share the doc?
M00088,G17,studio_1,S035,2026-09-10T16:10:01,wait is that the same as what we said before what do you think
M00089,G22,studio_1,S110,2026-09-10T16:10:01,"yeah for the doc, recognizing it in the notes is not the same as producing it"
M00090,G07,studio_1,S044,2026-09-10T16:10:07,yeah same here honestly
M00091,G03,studio_1,S055,2026-09-10T16:10:24,hey can you say more about that
M00092,G04,studio_1,S002,2026-09-10T16:10:36,alright oh interesting does that track
M00093,G19,studio_1,S066,2026-09-10T16:10:40,hmm that makes sense
M00094,G21,studio_1,S098,2026-09-10T16:10:44,moving our notes into the doc now?
M00095,G08,studio_1,S021,2026-09-10T16:10:53,what does that term mean again does that track
M00096,G17,studio_1,S099,2026-09-10T16:11:00,oh that made me laugh
M00097,G20,studio_1,S119,2026-09-10T16:11:06,i think recall beats rereading for us because the exam is all application
M00098,G07,studio_1,S071,2026-09-10T16:11:15,alright who is taking notes today or am i off
M00099,G22,studio_1,S027,2026-09-10T16:11:16,hmm i think maybe we say encoding decides which cues work later if that works for everyone
M00100,G08,studio_1,S047,2026-09-10T16:11:20,so nice
M00101,G20,studio_1,S112,2026-09-10T16:11:21,can you give an example
M00102,G20,studio_1,S113,2026-09-10T16:11:25,let's timebox this to three minutes
M00103,G22,studio_1,S093,2026-09-10T16:11:25,so that makes sense
M00104,G04,studio_1,S102,2026-09-10T16:11:32,moving the rubric into the doc now
M00105,G23,studio_1,S049,2026-09-10T16:11:33,wait can you say more about that sorry if that is obvious
M00106,G12,studio_1,S057,2026-09-10T16:11:40,so i'll write up the second question if that works for everyone
M00107,G13,studio_1,S012,2026-09-10T16:11:45,"so counterpoint, maybe we say encoding decides which cues work later if that works for everyone"
M00108,G10,studio_1,S083,2026-09-10T16:12:15,hey honestly recognizing it in the notes is not the same as producing it
M00109,G11,studio_1,S092,2026-09-10T16:12:17,ok yes exactly
M00110,G10,studio_1,S078,2026-09-10T16:12:22,hmm let's each take four minutes to write first does that track
M00111,G22,studio_1,S093,2026-09-10T16:12:26,hmm maybe the testing effect showed up even in the ungraded condition which is the interesting part?
M00112,G19,studio_1,S042,2026-09-10T16:12:43,right does everyone have the slide open
M00113,G20,studio_1,S112,2026-09-10T16:12:47,"oh from the reading, the testing effect showed up even in the ungraded condition which is the interesting part right"
M00114,G05,studio_1,S051,2026-09-10T16:12:50,oh i lost our notes again sorry lol
M00115,G09,studio_1,S082,2026-09-10T16:13:04,yeah can you say more about that sorry if that is obvious
M00116,G01,studio_1,S038,2026-09-10T16:13:06,who is taking notes today
M00117,G20,studio_1,S119,2026-09-10T16:13:12,wait let's timebox this to fifteen minutes lol
M00118,G17,studio_1,S099,2026-09-10T16:13:13,hmm so the forgetting curve thing only worked for me when i spaced it out
M00119,G08,studio_1,S047,2026-09-10T16:13:16,i can share the doc does that track
M00120,G22,studio_1,S096,2026-09-10T16:13:28,so i'm adding the question to the doc
M00121,G16,studio_1,S109,2026-09-10T16:13:34,"from the reading, our example should be the blank page recall one or am i off"
M00122,G11,studio_1,S058,2026-09-10T16:13:35,oh the forgetting curve thing only worked for me when i spaced it out or am i off
M00123,G07,studio_1,S001,2026-09-10T16:13:38,hmm i think recall beats rereading for us because the exam is all application
M00124,G09,studio_1,S082,2026-09-10T16:13:39,so what does that term mean again?
M00125,G07,studio_1,S001,2026-09-10T16:13:40,hmm should we outline first
M00126,G05,studio_1,S043,2026-09-10T16:13:46,alright good point sorry if that is obvious
M00127,G21,studio_1,S098,2026-09-10T16:13:47,wait chunking is basically why the experts in the study looked faster?
M00128,G22,studio_1,S027,2026-09-10T16:13:48,that made me laugh lol
M00129,G07,studio_1,S071,2026-09-10T16:13:53,ok is that the same as what we said before what do you think
M00130,G24,studio_1,S060,2026-09-10T16:13:56,hey i missed that last bit right
M00131,G10,studio_1,S015,2026-09-10T16:14:02,alright cues matter as much as effort when you are trying to bring something back
M00132,G10,studio_1,S078,2026-09-10T16:14:04,oh i can share the doc
M00133,G12,studio_1,S057,2026-09-10T16:14:08,hmm i think i think recall beats rereading for us because the exam is all application does that track
M00134,G18,studio_1,S101,2026-09-10T16:14:13,ok love that
M00135,G04,studio_1,S002,2026-09-10T16:14:13,someone should own the last section or am i off
M00136,G21,studio_1,S085,2026-09-10T16:14:19,"yeah from the reading, recognizing it in the notes is not the same as producing it"
M00137,G19,studio_1,S042,2026-09-10T16:14:24,alright sharing my screen now what do you think
M00138,G16,studio_1,S052,2026-09-10T16:14:28,hey i think recall beats rereading for us because the exam is all application or am i off
M00139,G13,studio_1,S072,2026-09-10T16:14:32,right thanks for waiting
M00140,G24,studio_1,S005,2026-09-10T16:14:33,right thanks for waiting
M00141,G08,studio_1,S021,2026-09-10T16:14:36,alright can we come back to the second question in a sec does that track
M00142,G13,studio_1,S012,2026-09-10T16:14:40,yeah honestly the testing effect showed up even in the ungraded condition which is the interesting part
M00143,G08,studio_1,S047,2026-09-10T16:14:45,really
M00144,G16,studio_1,S070,2026-09-10T16:14:48,hmm sorry can you repeat that
M00145,G20,studio_1,S089,2026-09-10T16:15:09,wait same here honestly
M00146,G12,studio_1,S084,2026-09-10T16:15:17,"alright counterpoint, maybe we say encoding decides which cues work later if that works for everyone"
M00147,G13,studio_1,S072,2026-09-10T16:15:33,does everyone have the rubric open
M00148,G12,studio_1,S084,2026-09-10T16:15:47,hey i'm convinced
M00149,G17,studio_1,S099,2026-09-10T16:15:47,oh my wifi dropped sorry
M00150,G12,studio_1,S013,2026-09-10T16:15:48,hmm we have four minutes left right
M00151,G23,studio_1,S106,2026-09-10T16:16:20,alright sorry can you repeat that?
M00152,G23,studio_1,S114,2026-09-10T16:16:43,so good point
M00153,G03,studio_1,S037,2026-09-10T16:16:46,"for the doc, the testing effect showed up even in the ungraded condition which is the interesting part"
M00154,G22,studio_1,S096,2026-09-10T16:16:51,so maybe maybe we say encoding decides which cues work later
M00155,G14,studio_1,S039,2026-09-10T16:17:06,"oh for the doc, maybe we say encoding decides which cues work later right"
M00156,G10,studio_1,S009,2026-09-10T16:17:08,let's each take three minutes to write first
M00157,G05,studio_1,S107,2026-09-10T16:17:25,wait let's each take five minutes to write first lol
M00158,G18,studio_1,S004,2026-09-10T16:17:26,yes exactly
M00159,G23,studio_1,S040,2026-09-10T16:17:26,"yeah not sure, but cues matter as much as effort when you are trying to bring something back"
M00160,G19,studio_1,S008,2026-09-10T16:17:27,"not sure, but our example should be the blank page recall one what do you think"
M00161,G08,studio_1,S047,2026-09-10T16:17:41,ok can someone paste the table if that works for everyone
M00162,G09,studio_1,S077,2026-09-10T16:17:45,oh that is a great way to put it
M00163,G13,studio_1,S061,2026-09-10T16:17:58,yeah oh interesting what do you think
M00164,G08,studio_1,S088,2026-09-10T16:17:59,alright i think the testing effect showed up even in the ungraded condition which is the interesting part or am i off
M00165,G20,studio_1,S113,2026-09-10T16:18:06,so i think recognizing it in the notes is not the same as producing it sorry if that is obvious
M00166,G03,studio_1,S023,2026-09-10T16:18:19,"oh counterpoint, the forgetting curve thing only worked for me when i spaced it out sorry if that is obvious"
M00167,G23,studio_1,S106,2026-09-10T16:18:35,so i lost the table again sorry does that track
M00168,G12,studio_1,S059,2026-09-10T16:18:38,i'll take the counterargument what do you think
M00169,G16,studio_1,S109,2026-09-10T16:18:50,oh do you mean the question or the other one if that works for everyone
M00170,G20,studio_1,S112,2026-09-10T16:18:50,wait sharing my screen now lol
M00171,G20,studio_1,S117,2026-09-10T16:18:52,ok my wifi dropped sorry lol
M00172,G13,studio_1,S012,2026-09-10T16:18:53,hey i missed that last bit or am i off
M00173,G13,studio_1,S061,2026-09-10T16:18:55,yeah can we come back to the second question in a sec lol
M00174,G03,studio_1,S055,2026-09-10T16:19:07,alright agreed
M00175,G22,studio_1,S110,2026-09-10T16:19:09,wait honestly maybe we say encoding decides which cues work later lol
M00176,G19,studio_1,S008,2026-09-10T16:19:12,oh can you say more about that
M00177,G20,studio_1,S112,2026-09-10T16:19:22,oh we have ten minutes left lol
M00178,G10,studio_1,S015,2026-09-10T16:19:25,"from the reading, we could open with the difference between recognizing and producing what do you think"
M00179,G11,studio_1,S058,2026-09-10T16:19:31,oh i missed that last bit if that works for everyone
M00180,G20,studio_1,S119,2026-09-10T16:19:45,alright who is taking notes today sorry if that is obvious
M00181,G21,studio_1,S098,2026-09-10T16:19:46,"for the doc, recognizing it in the notes is not the same as producing it right"
M00182,G10,studio_1,S078,2026-09-10T16:20:01,oh sorry can you repeat that?
M00183,G19,studio_1,S018,2026-09-10T16:20:20,yeah agreed
M00184,G21,studio_1,S085,2026-09-10T16:20:26,ok love that
M00185,G22,studio_1,S110,2026-09-10T16:20:30,alright so cues matter as much as effort when you are trying to bring something back
M00186,G15,studio_1,S006,2026-09-10T16:20:33,"hmm for the doc, chunking is basically why the experts in the study looked faster"
M00187,G13,studio_1,S012,2026-09-10T16:20:46,oh maybe chunking is basically why the experts in the study looked faster or am i off
M00188,G03,studio_1,S079,2026-09-10T16:20:48,"not sure, but the testing effect showed up even in the ungraded condition which is the interesting part right"
M00189,G05,studio_1,S118,2026-09-10T16:20:58,hey that makes sense does that track
M00190,G24,studio_1,S048,2026-09-10T16:21:08,"wait not sure, but maybe we say encoding decides which cues work later"
M00191,G05,studio_1,S118,2026-09-10T16:21:17,wait can you say more about that
M00192,G22,studio_1,S110,2026-09-10T16:21:18,oh i lost the prompt again sorry?
M00193,G02,studio_1,S120,2026-09-10T16:21:26,this is fun actually
M00194,G10,studio_1,S015,2026-09-10T16:21:27,alright can you say more about that right
M00195,G21,studio_1,S111,2026-09-10T16:21:31,wait can we come back to the last section in a sec
M00196,G07,studio_1,S010,2026-09-10T16:21:38,i lost the question again sorry
M00197,G24,studio_1,S048,2026-09-10T16:21:38,i'm not sure i follow right
M00198,G09,studio_1,S067,2026-09-10T16:21:41,so i think the testing effect showed up even in the ungraded condition which is the interesting part does that track
M00199,G03,studio_1,S023,2026-09-10T16:21:44,yeah our example should be the blank page recall one or am i off
M00200,G21,studio_1,S111,2026-09-10T16:21:56,oh can you say more about that
M00201,G09,studio_1,S077,2026-09-10T16:21:59,let's timebox this to ten minutes
M00202,G23,studio_1,S114,2026-09-10T16:22:00,so so i think recall beats rereading for us because the exam is all application if that works for everyone
M00203,G23,studio_1,S024,2026-09-10T16:22:12,ok fair enough does that track
M00204,G21,studio_1,S098,2026-09-10T16:22:28,sharing my screen now sorry if that is obvious
M00205,G09,studio_1,S036,2026-09-10T16:22:28,"oh from the reading, chunking is basically why the experts in the study looked faster lol"
M00206,G08,studio_1,S108,2026-09-10T16:22:30,alright running two minutes late
M00207,G13,studio_1,S022,2026-09-10T16:22:31,yeah who is taking notes today what do you think
M00208,G03,studio_1,S023,2026-09-10T16:22:31,hey good point
M00209,G09,studio_1,S082,2026-09-10T16:22:44,i can present if nobody else wants to?
M00210,G14,studio_1,S039,2026-09-10T16:22:46,i think recall beats rereading for us because the exam is all application if that works for everyone
M00211,G15,studio_1,S006,2026-09-10T16:22:49,alright sharing my screen now right
M00212,G11,studio_1,S058,2026-09-10T16:22:50,"right from the reading, cues matter as much as effort when you are trying to bring something back does that track"
M00213,G11,studio_1,S046,2026-09-10T16:23:04,hmm which the reading are we on does that track
M00214,G11,studio_1,S046,2026-09-10T16:23:09,oh sorry can you repeat that
M00215,G11,studio_1,S046,2026-09-10T16:23:13,alright honestly we could open with the difference between recognizing and producing does that track
M00216,G13,studio_1,S061,2026-09-10T16:23:33,hmm who wants to present back or am i off
M00217,G01,studio_1,S038,2026-09-10T16:23:38,so that made me laugh sorry if that is obvious
M00218,G02,studio_1,S017,2026-09-10T16:23:40,maybe recognizing it in the notes is not the same as producing it
M00219,G14,studio_1,S104,2026-09-10T16:23:41,right let's each take three minutes to write first
M00220,G15,studio_1,S014,2026-09-10T16:23:47,alright my read is i think recall beats rereading for us because the exam is all application
M00221,G21,studio_1,S098,2026-09-10T16:23:57,hey hold on let me reread the transcript if that works for everyone
M00222,G24,studio_1,S028,2026-09-10T16:23:58,does everyone have the reading open?
M00223,G22,studio_1,S027,2026-09-10T16:24:02,oh so maybe we say encoding decides which cues work later lol
M00224,G08,studio_1,S088,2026-09-10T16:24:03,"alright not sure, but chunking is basically why the experts in the study looked faster lol"
M00225,G05,studio_1,S118,2026-09-10T16:24:05,so i lost our notes again sorry what do you think
M00226,G22,studio_1,S096,2026-09-10T16:24:08,i'm back
M00227,G22,studio_1,S093,2026-09-10T16:24:10,wait running two minutes late right
M00228,G08,studio_1,S021,2026-09-10T16:24:12,putting the rubric at the top of the doc what do you think
M00229,G22,studio_1,S093,2026-09-10T16:24:13,hmm you two are on a roll
M00230,G07,studio_1,S063,2026-09-10T16:24:20,"for the doc, the forgetting curve thing only worked for me when i spaced it out"
M00231,G11,studio_1,S081,2026-09-10T16:24:25,oh what does that term mean again or am i off
M00232,G02,studio_1,S120,2026-09-10T16:24:25,hmm let's split this twenty ways right
M00233,G11,studio_1,S058,2026-09-10T16:24:28,oh i'm convinced
M00234,G08,studio_1,S068,2026-09-10T16:24:29,right chunking is basically why the experts in the study looked faster?
M00235,G07,studio_1,S071,2026-09-10T16:24:30,alright who wants to present back
M00236,G13,studio_1,S012,2026-09-10T16:24:32,hey what does that term mean again right
M00237,G02,studio_1,S017,2026-09-10T16:24:40,ok brb one sec
M00238,G13,studio_1,S012,2026-09-10T16:24:48,hey hold on let me reread the slide or am i off
M00239,G08,studio_1,S068,2026-09-10T16:24:56,hey oh interesting what do you think
M00240,G14,studio_1,S031,2026-09-10T16:24:58,right my read is recognizing it in the notes is not the same as producing it
M00241,G23,studio_1,S040,2026-09-10T16:25:07,you two are on a roll
M00242,G08,studio_1,S088,2026-09-10T16:25:13,wait i missed that last bit
M00243,G23,studio_1,S106,2026-09-10T16:25:14,oh i can set up the doc or am i off
M00244,G17,studio_1,S086,2026-09-10T16:25:16,ok i think i think recall beats rereading for us because the exam is all application right
M00245,G16,studio_1,S007,2026-09-10T16:25:20,hey is that the same as what we said before sorry if that is obvious
M00246,G24,studio_1,S028,2026-09-10T16:25:20,can you give an example if that works for everyone
M00247,G08,studio_1,S021,2026-09-10T16:25:32,so my wifi dropped sorry
M00248,G17,studio_1,S099,2026-09-10T16:25:41,i can share the doc
M00249,G16,studio_1,S052,2026-09-10T16:25:41,oh hold on let me reread the reading what do you think
M00250,G09,studio_1,S082,2026-09-10T16:25:47,hey we could open with the difference between recognizing and producing
M00251,G04,studio_1,S087,2026-09-10T16:25:48,i'll take part 1
M00252,G03,studio_1,S037,2026-09-10T16:25:50,putting the slide at the top of the doc
M00253,G18,studio_1,S069,2026-09-10T16:26:03,oh same here honestly lol
M00254,G05,studio_1,S118,2026-09-10T16:26:14,hmm hi all
M00255,G23,studio_1,S024,2026-09-10T16:26:15,ok i can present if nobody else wants to if that works for everyone
M00256,G05,studio_1,S043,2026-09-10T16:26:16,wait we could open with the difference between recognizing and producing
M00257,G01,studio_1,S056,2026-09-10T16:26:23,so so our example should be the blank page recall one
M00258,G17,studio_1,S086,2026-09-10T16:26:24,so i'll take the examples sorry if that is obvious
M00259,G05,studio_1,S118,2026-09-10T16:26:28,wait you two are on a roll
M00260,G10,studio_1,S009,2026-09-10T16:26:29,running two minutes late right
M00261,G19,studio_1,S008,2026-09-10T16:26:37,wait i'm following now
M00262,G20,studio_1,S119,2026-09-10T16:26:38,wait can we come back to the wrap up in a sec lol
M00263,G07,studio_1,S010,2026-09-10T16:26:48,my read is i think recall beats rereading for us because the exam is all application
M00264,G24,studio_1,S048,2026-09-10T16:26:55,wait let's timebox this to five minutes
M00265,G05,studio_1,S025,2026-09-10T16:27:13,"oh not sure, but cues matter as much as effort when you are trying to bring something back"
M00266,G23,studio_1,S114,2026-09-10T16:27:14,wait does everyone have the handout open
M00267,G10,studio_1,S015,2026-09-10T16:27:14,hmm i'm not sure i follow right
M00268,G12,studio_1,S013,2026-09-10T16:27:15,who wants to present back does that track
M00269,G02,studio_1,S064,2026-09-10T16:27:21,oh i missed that last bit sorry if that is obvious
M00270,G07,studio_1,S071,2026-09-10T16:27:22,can we come back to the counterargument in a sec?
M00271,G18,studio_1,S069,2026-09-10T16:27:34,hey i'll take the last section sorry if that is obvious
M00272,G02,studio_1,S064,2026-09-10T16:27:34,ok oh interesting
M00273,G18,studio_1,S069,2026-09-10T16:27:42,hey hi all
M00274,G15,studio_1,S020,2026-09-10T16:27:50,yeah my read is we could open with the difference between recognizing and producing right
M00275,G12,studio_1,S057,2026-09-10T16:28:00,wait our example should be the blank page recall one
M00276,G02,studio_1,S017,2026-09-10T16:28:12,really
M00277,G13,studio_1,S061,2026-09-10T16:28:24,alright agreed
M00278,G16,studio_1,S080,2026-09-10T16:28:32,our example should be the blank page recall one what do you think
M00279,G19,studio_1,S018,2026-09-10T16:28:41,so yes exactly
M00280,G08,studio_1,S088,2026-09-10T16:28:42,right i can present if nobody else wants to does that track
M00281,G20,studio_1,S112,2026-09-10T16:28:47,oh which the transcript are we on
M00282,G19,studio_1,S066,2026-09-10T16:29:05,yeah so recognizing it in the notes is not the same as producing it if that works for everyone
M00283,G23,studio_1,S024,2026-09-10T16:29:13,yeah good point right
M00284,G05,studio_1,S118,2026-09-10T16:29:15,alright let's timebox this to two minutes
M00285,G18,studio_1,S004,2026-09-10T16:29:16,so i'm following now
M00286,G07,studio_1,S071,2026-09-10T16:29:32,hmm the forgetting curve thing only worked for me when i spaced it out lol
M00287,G11,studio_1,S105,2026-09-10T16:29:38,so i think recall beats rereading for us because the exam is all application
M00288,G04,studio_1,S090,2026-09-10T16:29:44,alright does everyone have the handout open
M00289,G03,studio_1,S100,2026-09-10T16:29:45,really or am i off
M00290,G01,studio_1,S038,2026-09-10T16:29:47,so i'm convinced?
M00291,G14,studio_1,S039,2026-09-10T16:29:47,ok putting our notes at the top of the doc if that works for everyone
M00292,G19,studio_1,S008,2026-09-10T16:29:51,right i'll write up the counterargument sorry if that is obvious
M00293,G13,studio_1,S022,2026-09-10T16:30:18,"oh counterpoint, cues matter as much as effort when you are trying to bring something back what do you think"
M00294,G01,studio_1,S076,2026-09-10T16:30:28,wait is that the same as what we said before lol
M00295,G20,studio_1,S089,2026-09-10T16:30:38,hmm honestly we could open with the difference between recognizing and producing does that track
M00296,G21,studio_1,S098,2026-09-10T16:30:39,"wait from the reading, the testing effect showed up even in the ungraded condition which is the interesting part or am i off"
M00297,G12,studio_1,S059,2026-09-10T16:30:47,"not sure, but the forgetting curve thing only worked for me when i spaced it out if that works for everyone"
M00298,G22,studio_1,S110,2026-09-10T16:30:48,yeah i'm adding the slide to the doc what do you think
M00299,G05,studio_1,S107,2026-09-10T16:30:50,oh the forgetting curve thing only worked for me when i spaced it out sorry if that is obvious
M00300,G09,studio_1,S077,2026-09-10T16:30:51,ok should we outline first
M00301,G02,studio_1,S017,2026-09-10T16:30:52,so are we answering question ten or the next one right
M00302,G17,studio_1,S035,2026-09-10T16:30:57,hey i'm convinced lol
M00303,G22,studio_1,S097,2026-09-10T16:30:57,so should we outline first if that works for everyone
M00304,G16,studio_1,S052,2026-09-10T16:31:01,oh where is that in the table sorry if that is obvious
M00305,G11,studio_1,S092,2026-09-10T16:31:04,hmm i missed that last bit does that track
M00306,G12,studio_1,S059,2026-09-10T16:31:05,yeah i lost the reading again sorry if that works for everyone
M00307,G08,studio_1,S108,2026-09-10T16:31:05,hey same here honestly
M00308,G15,studio_1,S014,2026-09-10T16:31:05,our example should be the blank page recall one or am i off
M00309,G23,studio_1,S049,2026-09-10T16:31:07,hey do you mean the doc link or the other one lol
M00310,G15,studio_1,S032,2026-09-10T16:31:10,so where is that in the doc link sorry if that is obvious
M00311,G03,studio_1,S079,2026-09-10T16:31:10,"so from the reading, cues matter as much as effort when you are trying to bring something back"
M00312,G10,studio_1,S009,2026-09-10T16:31:14,oh fair enough
