post_id,thread_id,parent_post_id,student_id,week,timestamp,text
F0014,TH006,F0011,S048,1,2026-09-09T22:05:47,"This framing of the forgetting curve lines up with my own experience. Stated plainly, expert memory is mostly organized knowledge rather than raw capacity. The first time I tried drawing the diagram from memory before checking my notes it felt slow, but it took longer but it stuck for the whole week. What do you do when you cannot recall anything at all? Really glad this was assigned."
F0015,TH006,F0012,S099,1,2026-09-10T14:42:43,"Adding a small counterexample to what has been said about cue dependent forgetting. The reading argues that how we encode something decides what cues will bring it back later, and I think that is right. When I started quizzing myself on the vocabulary instead of highlighting it, it took longer but it stuck for the whole week. It is worth remembering that we never see how long the advantage lasts past a semester."
F0016,TH006,F0015,S081,1,2026-09-10T21:07:51,"I agree with the earlier point about encoding versus retrieval, but I want to push on one piece. What seems clear to me is that how we encode something decides what cues will bring it back later. I tested this on myself by starting each session with five minutes of blank page recall, and the gaps in my understanding showed up immediately. Does anyone else find retrieval practice uncomfortable at first?"
F0017,TH003,F0010,S103,1,2026-09-10T08:21:07,"I agree with the earlier point about encoding versus retrieval, but I want to push on one piece. The authors seem to be saying that how we encode something decides what cues will bring it back later. When I started explaining the model out loud to my roommate, I could rebuild the structure but not the specific numbers. Does anyone else find retrieval practice uncomfortable at first?"
F0018,TH003,F0017,S101,1,2026-09-10T16:54:03,Thank you for naming what bothered me about the forgetting curve. The strongest version of the argument is that how we encode something decides what cues will bring it back later. My hesitation is that the effect might be smaller when the material is genuinely new to you.
F0019,TH008,F0008,S044,1,2026-09-09T15:38:47,"Adding a small counterexample to what has been said about the testing effect. It looks like recognizing material is not the same as being able to recall it, though the evidence is not airtight. The first time I tried quizzing myself on the vocabulary instead of highlighting it it felt slow, but it took longer but it stuck for the whole week. Where does chunking break down in your experience? I kept waiting for the part about resources and it never came."
F0020,TH006,F0015,S019,1,2026-09-11T08:00:00,"I am not sure I follow the argument about the testing effect yet. If I followed the chapter, retrieval practice does more for me than rereading ever did. I am skeptical, and I am open to being talked out of it."
F0021,TH006,F0016,S019,1,2026-09-11T11:24:18,"This thread is helping me see the difference between recall and recognition more clearly. It looks like expert memory is mostly organized knowledge rather than raw capacity, though the evidence is not airtight. The caveat for me is that we never see how long the advantage lasts past a semester. How would you explain encoding versus retrieval to a first year student?"
F0022,TH007,F0007,S089,1,2026-09-08T07:37:02,"I had the opposite reaction to the claim about elaborative interrogation. My takeaway is that retrieval practice does more for me than rereading ever did. In a statistics class I took last year I have been drawing the diagram from memory before checking my notes, and my confidence dropped and my actual scores went up. Who benefits when we take the testing effect seriously, and who does not?"
F0023,TH006,F0015,S020,1,2026-09-10T22:28:16,"Yes to all of this, and I want to add one thing about chunking. It looks like the effort that feels unproductive is often the effort that works, though the evidence is not airtight. Last week I tried quizzing myself on the vocabulary instead of highlighting it, and I was surprised by how much I had already lost. Does anyone else find retrieval practice uncomfortable at first?"
F0024,TH006,F0015,S030,1,2026-09-10T15:35:34,"I agree with the earlier point about the forgetting curve, but I want to push on one piece. I would say expert memory is mostly organized knowledge rather than raw capacity, at least for the kind of material we work with."
F0025,TH006,F0012,S115,1,2026-09-10T13:13:03,I had the opposite reaction to the claim about the difference between recall and recognition. The part that convinced me is that working memory limits explain why cramming feels productive and then fails. It is worth remembering that the effect might be smaller when the material is genuinely new to you. What do you do when you cannot recall anything at all? Thanks to whoever picked this reading.
F0026,TH001,F0001,S096,1,2026-09-08T18:03:22,"Building on the post above, I think the testing effect is doing a lot of work here. The part that convinced me is that how we encode something decides what cues will bring it back later. I left this reading more confused than when I started."
F0027,TH008,F0008,S012,1,2026-09-09T20:31:15,"Yes to all of this, and I want to add one thing about the forgetting curve. Stated plainly, retrieval practice does more for me than rereading ever did. This felt disconnected from the students I actually work with."
F0028,TH006,F0020,S057,1,2026-09-11T10:43:07,Thank you for naming what bothered me about chunking. What I did not expect was the claim that recognizing material is not the same as being able to recall it. Does anyone else find retrieval practice uncomfortable at first?
F0029,TH003,F0003,S105,1,2026-09-10T14:05:50,"I had the opposite reaction to the claim about encoding versus retrieval. I would say working memory limits explain why cramming feels productive and then fails, at least for the kind of material we work with. This is probably context dependent, given that the discomfort makes it hard to keep doing on a busy week."
F0030,TH003,F0009,S039,1,2026-09-10T08:00:00,"Two people above have said something useful about chunking. Stated plainly, working memory limits explain why cramming feels productive and then fails. It is worth remembering that most of the studies used word lists rather than course material. Is there a point where self testing starts giving you false confidence?"
F0031,TH008,F0008,S105,1,2026-09-09T16:31:16,"Yes to all of this, and I want to add one thing about elaborative interrogation. What I did not expect was the claim that how we encode something decides what cues will bring it back later. The first time I tried drawing the diagram from memory before checking my notes it felt slow, but I could rebuild the structure but not the specific numbers. That said, students who already know the content have less to retrieve. Is there a point where self testing starts giving you false confidence? This landed as advice for students who already have time."
F0032,TH007,F0022,S046,1,2026-09-08T14:05:02,"Yes to all of this, and I want to add one thing about the difference between recall and recognition. Stated plainly, the effort that feels unproductive is often the effort that works. I spent two weeks closing the book and writing down everything I could recall, and I was surprised by how much I had already lost."
F0033,TH006,F0020,S050,1,2026-09-11T20:11:55,"Adding a small counterexample to what has been said about elaborative interrogation. The authors seem to be saying that how we encode something decides what cues will bring it back later. I spent two weeks turning the section headings into questions and answering them, and I was surprised by how much I had already lost."
F0034,TH006,F0014,S052,1,2026-09-10T13:59:55,Thank you for naming what bothered me about the testing effect. The strongest version of the argument is that retrieval practice does more for me than rereading ever did.
F0035,TH003,F0017,S087,1,2026-09-10T15:10:08,"I had the opposite reaction to the claim about encoding versus retrieval. I keep coming back to the idea that recognizing material is not the same as being able to recall it. In the language class I am taking I have been starting each session with five minutes of blank page recall, and I could rebuild the structure but not the specific numbers. What do you do when you cannot recall anything at all? This gave me language for something I had only felt."
F0036,TH006,F0012,S027,1,2026-09-10T11:18:28,"Yes to all of this, and I want to add one thing about cue dependent forgetting. The authors seem to be saying that retrieval practice does more for me than rereading ever did. I tested this on myself by starting each session with five minutes of blank page recall, and my confidence dropped and my actual scores went up."
F0037,TH006,F0028,S088,1,2026-09-11T23:19:42,"I will take the other side on encoding versus retrieval, mostly to see what happens. The part that convinced me is that how we encode something decides what cues will bring it back later. When I started turning the section headings into questions and answering them, I was surprised by how much I had already lost."
F0038,TH006,F0028,S027,1,2026-09-11T15:10:47,"Coming back to an earlier comment on the difference between recall and recognition. What seems clear to me is that recognizing material is not the same as being able to recall it. During an intro chemistry sequence I ended up quizzing myself on the vocabulary instead of highlighting it, and my confidence dropped and my actual scores went up. This is probably context dependent, given that the discomfort makes it hard to keep doing on a busy week. Would this work the same way for skills rather than facts?"
F0039,TH005,F0005,S102,1,2026-09-08T08:00:00,"Two people above have said something useful about the testing effect. I keep coming back to the idea that recognizing material is not the same as being able to recall it. In the certification exam I am studying for I have been turning the section headings into questions and answering them, and I was surprised by how much I had already lost. My hesitation is that the effect might be smaller when the material is genuinely new to you. What do you do when you cannot recall anything at all?"
F0040,TH007,F0032,S072,1,2026-09-08T20:37:04,"I am not sure I follow the argument about the forgetting curve yet. Stated plainly, how we encode something decides what cues will bring it back later. The examples were the best part for me."
F0041,TH007,F0032,S007,1,2026-09-09T08:00:00,I had the opposite reaction to the claim about cue dependent forgetting. The authors seem to be saying that expert memory is mostly organized knowledge rather than raw capacity. Would this work the same way for skills rather than facts? I am excited to try this in my own teaching.
F0042,TH003,F0030,S086,1,2026-09-10T10:01:45,"Adding a small counterexample to what has been said about the difference between recall and recognition. I would say recognizing material is not the same as being able to recall it, at least for the kind of material we work with. The first time I tried starting each session with five minutes of blank page recall it felt slow, but my confidence dropped and my actual scores went up. This is probably context dependent, given that we never see how long the advantage lasts past a semester. Would this work the same way for skills rather than facts?"
F0043,TH006,F0036,S088,1,2026-09-10T12:56:33,Two people above have said something useful about the difference between recall and recognition. The authors seem to be saying that recognizing material is not the same as being able to recall it. Really glad this was assigned.
F0044,TH002,F0002,S037,1,2026-09-10T08:00:00,"I agree with the earlier point about elaborative interrogation, but I want to push on one piece. If I followed the chapter, expert memory is mostly organized knowledge rather than raw capacity."
F0045,TH008,F0019,S115,1,2026-09-09T16:12:04,"Adding a small counterexample to what has been said about encoding versus retrieval. The part that convinced me is that the effort that feels unproductive is often the effort that works. I would want to know more before generalizing, since we never see how long the advantage lasts past a semester."
F0046,TH003,F0030,S012,1,2026-09-10T23:22:46,"I agree with the earlier point about elaborative interrogation, but I want to push on one piece. The authors seem to be saying that how we encode something decides what cues will bring it back later. This is the first reading that felt written for practitioners."
F0047,TH003,F0018,S020,1,2026-09-10T23:23:19,"I had the opposite reaction to the claim about chunking. It looks like retrieval practice does more for me than rereading ever did, though the evidence is not airtight."
F0048,TH007,F0040,S007,1,2026-09-09T07:42:55,"I want to sit with the point about elaborative interrogation for a second. I would say retrieval practice does more for me than rereading ever did, at least for the kind of material we work with."
F0049,TH003,F0047,S040,1,2026-09-11T14:42:20,"I had the opposite reaction to the claim about the forgetting curve. Stated plainly, the effort that feels unproductive is often the effort that works. I would want to know more before generalizing, since most of the studies used word lists rather than course material."
F0050,TH006,F0024,S093,1,2026-09-10T22:10:25,"Adding a small counterexample to what has been said about encoding versus retrieval. I keep coming back to the idea that recognizing material is not the same as being able to recall it. I spent two weeks quizzing myself on the vocabulary instead of highlighting it, and the second attempt was noticeably easier than the first. Is there a point where self testing starts giving you false confidence? Great thread, everyone."
F0051,TH003,F0003,S084,1,2026-09-09T17:29:12,"Yes to all of this, and I want to add one thing about encoding versus retrieval. My takeaway is that how we encode something decides what cues will bring it back later. The first time I tried starting each session with five minutes of blank page recall it felt slow, but my confidence dropped and my actual scores went up. My hesitation is that most of the studies used word lists rather than course material."
F0052,TH003,F0046,S026,1,2026-09-11T09:35:17,"Two people above have said something useful about the forgetting curve. The part that convinced me is that working memory limits explain why cramming feels productive and then fails. Last week I tried turning the section headings into questions and answering them, and it took longer but it stuck for the whole week. Where I get stuck is that we never see how long the advantage lasts past a semester. What do you do when you cannot recall anything at all?"
F0053,TH003,F0049,S002,1,2026-09-11T20:27:17,"I read that section on the forgetting curve differently. The reading argues that recognizing material is not the same as being able to recall it, and I think that is right. Last week I tried closing the book and writing down everything I could recall, and the gaps in my understanding showed up immediately."
F0054,TH007,F0032,S076,1,2026-09-08T22:04:37,"This framing of chunking lines up with my own experience. What seems clear to me is that the effort that feels unproductive is often the effort that works. When I started closing the book and writing down everything I could recall, I could rebuild the structure but not the specific numbers. It is worth remembering that the effect might be smaller when the material is genuinely new to you."
F0055,TH001,F0001,S063,1,2026-09-08T08:00:00,"I agree with the earlier point about the testing effect, but I want to push on one piece. The reading argues that how we encode something decides what cues will bring it back later, and I think that is right. Last week I tried explaining the model out loud to my roommate, and I could rebuild the structure but not the specific numbers. What would change your mind about encoding versus retrieval?"
F0056,TH006,F0037,S052,1,2026-09-12T11:16:49,"I want to sit with the point about elaborative interrogation for a second. What seems clear to me is that how we encode something decides what cues will bring it back later. Something similar happened in the certification exam I am studying for when I was turning the section headings into questions and answering them, since I could rebuild the structure but not the specific numbers."
F0057,TH003,F0052,S043,1,2026-09-11T16:26:11,"This framing of the testing effect lines up with my own experience. The reading argues that retrieval practice does more for me than rereading ever did, and I think that is right. When I started quizzing myself on the vocabulary instead of highlighting it, I was surprised by how much I had already lost. That said, we never see how long the advantage lasts past a semester. Has anyone tried this with a partner instead of alone? The examples were the best part for me."
F0058,TH007,F0041,S067,1,2026-09-09T18:05:06,"I had the opposite reaction to the claim about cue dependent forgetting. What seems clear to me is that retrieval practice does more for me than rereading ever did. I would want to know more before generalizing, since students who already know the content have less to retrieve. Has anyone tried this with a partner instead of alone?"
F0059,TH005,F0039,S041,1,2026-09-08T12:56:21,"I will take the other side on the testing effect, mostly to see what happens. What seems clear to me is that retrieval practice does more for me than rereading ever did. I tested this on myself by turning the section headings into questions and answering them, and I was surprised by how much I had already lost. Does anyone else find retrieval practice uncomfortable at first?"
F0060,TH008,F0013,S002,1,2026-09-10T12:16:56,"Building on the post above, I think the forgetting curve is doing a lot of work here. It looks like recognizing material is not the same as being able to recall it, though the evidence is not airtight. In my anatomy course I have been drawing the diagram from memory before checking my notes, and I was surprised by how much I had already lost. One limit worth naming is that the discomfort makes it hard to keep doing on a busy week."
F0061,TH002,F0002,S072,1,2026-09-10T14:04:30,"Adding a small counterexample to what has been said about the difference between recall and recognition. My takeaway is that expert memory is mostly organized knowledge rather than raw capacity. I am holding this loosely, because the effect might be smaller when the material is genuinely new to you. Has anyone tried this with a partner instead of alone?"
F0062,TH007,F0054,S015,1,2026-09-09T10:48:35,"I want to sit with the point about cue dependent forgetting for a second. What I did not expect was the claim that the effort that feels unproductive is often the effort that works. During my anatomy course I ended up drawing the diagram from memory before checking my notes, and my confidence dropped and my actual scores went up. That said, the classroom studies had far messier results than the lab ones."
F0063,TH007,F0054,S063,1,2026-09-09T08:00:00,"I want to sit with the point about encoding versus retrieval for a second. Stated plainly, recognizing material is not the same as being able to recall it."
F0064,TH002,F0002,S063,1,2026-09-10T08:00:00,"I read that section on elaborative interrogation differently. If I followed the chapter, expert memory is mostly organized knowledge rather than raw capacity. That said, students who already know the content have less to retrieve."
F0065,TH006,F0025,S017,1,2026-09-10T21:57:20,"This framing of the testing effect lines up with my own experience. It looks like expert memory is mostly organized knowledge rather than raw capacity, though the evidence is not airtight. This is probably context dependent, given that the effect might be smaller when the material is genuinely new to you. What would you want to see before you trusted encoding versus retrieval?"
F0066,TH002,F0061,S025,1,2026-09-10T18:14:36,"Coming back to an earlier comment on chunking. The reading argues that the effort that feels unproductive is often the effort that works, and I think that is right. I gave turning the section headings into questions and answering them an honest try, and the second attempt was noticeably easier than the first. How would you explain retrieval practice to a first year student?"
F0067,TH007,F0048,S063,1,2026-09-09T09:04:33,This framing of the difference between recall and recognition lines up with my own experience. I keep coming back to the idea that retrieval practice does more for me than rereading ever did. How do you use recall for conceptual material rather than definitions?
F0068,TH003,F0042,S113,1,2026-09-10T15:36:32,"I had the opposite reaction to the claim about the testing effect. The authors seem to be saying that the effort that feels unproductive is often the effort that works. I am holding this loosely, because the discomfort makes it hard to keep doing on a busy week."
F0069,TH007,F0022,S056,1,2026-09-08T08:27:39,"This framing of elaborative interrogation lines up with my own experience. What I did not expect was the claim that expert memory is mostly organized knowledge rather than raw capacity. During an intro chemistry sequence I ended up explaining the model out loud to my roommate, and my confidence dropped and my actual scores went up. I would want to know more before generalizing, since the discomfort makes it hard to keep doing on a busy week."
F0070,TH002,F0064,S055,1,2026-09-10T12:13:54,"Building on the post above, I think chunking is doing a lot of work here. What I did not expect was the claim that retrieval practice does more for me than rereading ever did. Something similar happened in the language class I am taking when I was closing the book and writing down everything I could recall, since my confidence dropped and my actual scores went up."
F0071,TH008,F0013,S039,1,2026-09-10T10:46:14,"Adding a small counterexample to what has been said about encoding versus retrieval. What seems clear to me is that retrieval practice does more for me than rereading ever did. I spent two weeks drawing the diagram from memory before checking my notes, and my confidence dropped and my actual scores went up. What do you do when you cannot recall anything at all?"
F0072,TH002,F0002,S067,1,2026-09-10T07:03:02,"Thank you for naming what bothered me about chunking. My takeaway is that recognizing material is not the same as being able to recall it. The first time I tried turning the section headings into questions and answering them it felt slow, but it took longer but it stuck for the whole week. Is there a point where self testing starts giving you false confidence?"
F0073,TH002,F0066,S083,1,2026-09-10T18:41:44,"I agree with the earlier point about cue dependent forgetting, but I want to push on one piece. I keep coming back to the idea that retrieval practice does more for me than rereading ever did. My hesitation is that the effect might be smaller when the material is genuinely new to you."
F0074,TH007,F0058,S076,1,2026-09-09T23:32:37,"I had the opposite reaction to the claim about elaborative interrogation. The part that convinced me is that working memory limits explain why cramming feels productive and then fails. During the language class I am taking I ended up turning the section headings into questions and answering them, and the gaps in my understanding showed up immediately. This is probably context dependent, given that the classroom studies had far messier results than the lab ones. Is there a point where self testing starts giving you false confidence?"
F0075,TH002,F0064,S037,1,2026-09-10T10:14:32,This thread is helping me see cue dependent forgetting more clearly. My takeaway is that expert memory is mostly organized knowledge rather than raw capacity. Does anyone else find retrieval practice uncomfortable at first?
F0076,TH006,F0036,S031,1,2026-09-10T19:29:15,"I am not sure I follow the argument about chunking yet. I would say working memory limits explain why cramming feels productive and then fails, at least for the kind of material we work with. That said, the effect might be smaller when the material is genuinely new to you. Really glad this was assigned."
F0077,TH008,F0013,S002,1,2026-09-10T17:11:40,"I had the opposite reaction to the claim about elaborative interrogation. I keep coming back to the idea that expert memory is mostly organized knowledge rather than raw capacity. How would you explain cue dependent forgetting to a first year student? This one actually changed something about my week, which is rare."
F0078,TH006,F0038,S078,1,2026-09-11T22:26:01,"I am not sure I follow the argument about the testing effect yet. My takeaway is that retrieval practice does more for me than rereading ever did. I spent two weeks quizzing myself on the vocabulary instead of highlighting it, and I was surprised by how much I had already lost."
F0079,TH006,F0021,S081,1,2026-09-12T08:00:00,"I had the opposite reaction to the claim about elaborative interrogation. The authors seem to be saying that retrieval practice does more for me than rereading ever did. When I started quizzing myself on the vocabulary instead of highlighting it, I was surprised by how much I had already lost. One limit worth naming is that we never see how long the advantage lasts past a semester. Who benefits when we take the forgetting curve seriously, and who does not?"
F0080,TH003,F0035,S103,1,2026-09-10T21:10:09,"Yes to all of this, and I want to add one thing about encoding versus retrieval. If I followed the chapter, working memory limits explain why cramming feels productive and then fails. This is the first reading that felt written for practitioners."
F0081,TH003,F0057,S095,1,2026-09-11T22:02:58,"I want to sit with the point about chunking for a second. The part that convinced me is that retrieval practice does more for me than rereading ever did. That said, the effect might be smaller when the material is genuinely new to you."
F0082,TH006,F0038,S092,1,2026-09-12T08:00:00,"I read that section on elaborative interrogation differently. I keep coming back to the idea that the effort that feels unproductive is often the effort that works. Last week I tried turning the section headings into questions and answering them, and I could rebuild the structure but not the specific numbers. What do you do when you cannot recall anything at all? The writing made a simple idea feel complicated."
F0083,TH008,F0013,S039,1,2026-09-10T16:16:34,"I read that section on encoding versus retrieval differently. The part that convinced me is that retrieval practice does more for me than rereading ever did. During an intro chemistry sequence I ended up drawing the diagram from memory before checking my notes, and I was surprised by how much I had already lost. Where I get stuck is that the discomfort makes it hard to keep doing on a busy week."
F0084,TH006,F0021,S114,1,2026-09-11T22:04:34,"Adding a small counterexample to what has been said about the testing effect. The strongest version of the argument is that the effort that feels unproductive is often the effort that works. During the language class I am taking I ended up turning the section headings into questions and answering them, and the second attempt was noticeably easier than the first. My hesitation is that we never see how long the advantage lasts past a semester. Would this work the same way for skills rather than facts?"
F0085,TH002,F0072,S084,1,2026-09-10T16:41:17,"I am not sure I follow the argument about the difference between recall and recognition yet. The authors seem to be saying that the effort that feels unproductive is often the effort that works. Something similar happened in my seminar readings when I was starting each session with five minutes of blank page recall, since I could rebuild the structure but not the specific numbers. This is probably context dependent, given that the effect might be smaller when the material is genuinely new to you. The examples were the best part for me."
F0086,TH006,F0021,S075,1,2026-09-11T15:55:19,"Thank you for naming what bothered me about the forgetting curve. What I did not expect was the claim that working memory limits explain why cramming feels productive and then fails. When I started starting each session with five minutes of blank page recall, I was surprised by how much I had already lost. How do you use recall for conceptual material rather than definitions?"
F0087,TH006,F0050,S074,1,2026-09-11T08:00:00,"Thank you for naming what bothered me about the testing effect. The reading argues that recognizing material is not the same as being able to recall it, and I think that is right. Something similar happened in a statistics class I took last year when I was drawing the diagram from memory before checking my notes, since it took longer but it stuck for the whole week. Would this work the same way for skills rather than facts?"
F0088,TH007,F0074,S101,1,2026-09-10T22:28:29,"Adding a small counterexample to what has been said about elaborative interrogation. What seems clear to me is that the effort that feels unproductive is often the effort that works. Something similar happened in a statistics class I took last year when I was closing the book and writing down everything I could recall, since it took longer but it stuck for the whole week. Has anyone tried this with a partner instead of alone?"
F0089,TH002,F0073,S037,1,2026-09-11T11:44:49,Thank you for naming what bothered me about the forgetting curve. I keep coming back to the idea that recognizing material is not the same as being able to recall it. One limit worth naming is that the classroom studies had far messier results than the lab ones.
F0090,TH002,F0085,S086,1,2026-09-10T22:05:25,"I read that section on retrieval practice differently. The part that convinced me is that recognizing material is not the same as being able to recall it. During the certification exam I am studying for I ended up explaining the model out loud to my roommate, and it took longer but it stuck for the whole week. Who benefits when we take cue dependent forgetting seriously, and who does not?"
F0091,TH003,F0052,S045,1,2026-09-11T13:53:56,"This thread is helping me see chunking more clearly. If I followed the chapter, the effort that feels unproductive is often the effort that works. The first time I tried starting each session with five minutes of blank page recall it felt slow, but the second attempt was noticeably easier than the first. What would you want to see before you trusted the difference between recall and recognition?"
F0092,TH006,F0020,S092,1,2026-09-11T20:51:35,Coming back to an earlier comment on the difference between recall and recognition. The authors seem to be saying that working memory limits explain why cramming feels productive and then fails. I kept waiting for the part about resources and it never came.
F0093,TH006,F0038,S028,1,2026-09-12T08:00:00,"I will take the other side on the testing effect, mostly to see what happens. If I followed the chapter, the effort that feels unproductive is often the effort that works. Where I get stuck is that students who already know the content have less to retrieve. Has anyone tried this with a partner instead of alone?"
F0094,TH002,F0073,S056,1,2026-09-10T23:23:55,"Yes to all of this, and I want to add one thing about the testing effect. The reading argues that recognizing material is not the same as being able to recall it, and I think that is right. I gave closing the book and writing down everything I could recall an honest try, and I was surprised by how much I had already lost. Has anyone tried this with a partner instead of alone? This landed as advice for students who already have time."
F0095,TH002,F0002,S037,1,2026-09-10T21:55:27,"I agree with the earlier point about elaborative interrogation, but I want to push on one piece. The strongest version of the argument is that the effort that feels unproductive is often the effort that works. The first time I tried quizzing myself on the vocabulary instead of highlighting it it felt slow, but the gaps in my understanding showed up immediately."
F0096,TH001,F0026,S116,1,2026-09-09T12:09:35,"This thread is helping me see retrieval practice more clearly. The strongest version of the argument is that retrieval practice does more for me than rereading ever did. Last week I tried turning the section headings into questions and answering them, and I was surprised by how much I had already lost. That said, most of the studies used word lists rather than course material."
F0097,TH002,F0085,S026,1,2026-09-10T19:37:28,"I had the opposite reaction to the claim about the difference between recall and recognition. Stated plainly, how we encode something decides what cues will bring it back later. I gave quizzing myself on the vocabulary instead of highlighting it an honest try, and the second attempt was noticeably easier than the first. My hesitation is that we never see how long the advantage lasts past a semester. Has anyone tried this with a partner instead of alone?"
F0098,TH002,F0095,S067,1,2026-09-10T22:13:33,This thread is helping me see the forgetting curve more clearly. My takeaway is that recognizing material is not the same as being able to recall it. One limit worth naming is that most of the studies used word lists rather than course material. What do you do when you cannot recall anything at all?
F0099,TH003,F0017,S039,1,2026-09-10T15:04:41,"Building on the post above, I think elaborative interrogation is doing a lot of work here. My takeaway is that working memory limits explain why cramming feels productive and then fails. Last week I tried turning the section headings into questions and answering them, and my confidence dropped and my actual scores went up. The caveat for me is that most of the studies used word lists rather than course material."
F0100,TH006,F0086,S035,1,2026-09-11T19:14:28,"Building on the post above, I think encoding versus retrieval is doing a lot of work here. I keep coming back to the idea that the effort that feels unproductive is often the effort that works. I spent two weeks starting each session with five minutes of blank page recall, and I could rebuild the structure but not the specific numbers. How would you explain encoding versus retrieval to a first year student?"
F0101,TH008,F0060,S044,1,2026-09-10T18:29:51,"I want to sit with the point about chunking for a second. My takeaway is that the effort that feels unproductive is often the effort that works. When I started turning the section headings into questions and answering them, the second attempt was noticeably easier than the first. How would you even measure chunking in a real classroom?"
F0102,TH003,F0035,S002,1,2026-09-11T08:00:00,I read that section on the difference between recall and recognition differently. What I did not expect was the claim that how we encode something decides what cues will bring it back later. Would this work the same way for skills rather than facts?
F0103,TH002,F0097,S103,1,2026-09-10T20:26:14,"Coming back to an earlier comment on encoding versus retrieval. My takeaway is that retrieval practice does more for me than rereading ever did. I am holding this loosely, because most of the studies used word lists rather than course material."
F0104,TH002,F0072,S056,1,2026-09-11T08:00:00,"Yes to all of this, and I want to add one thing about the testing effect. Stated plainly, the effort that feels unproductive is often the effort that works."
F0105,TH003,F0046,S118,1,2026-09-11T08:00:00,"Adding a small counterexample to what has been said about encoding versus retrieval. The part that convinced me is that working memory limits explain why cramming feels productive and then fails. Last week I tried turning the section headings into questions and answering them, and it took longer but it stuck for the whole week. I would want to know more before generalizing, since students who already know the content have less to retrieve."
F0106,TH002,F0104,S083,1,2026-09-11T13:50:09,"Building on the post above, I think the forgetting curve is doing a lot of work here. It looks like the effort that feels unproductive is often the effort that works, though the evidence is not airtight. I spent two weeks turning the section headings into questions and answering them, and I was surprised by how much I had already lost. I am holding this loosely, because students who already know the content have less to retrieve."
F0107,TH002,F0089,S076,1,2026-09-11T13:25:42,"Adding a small counterexample to what has been said about the difference between recall and recognition. It looks like retrieval practice does more for me than rereading ever did, though the evidence is not airtight. When I started turning the section headings into questions and answering them, I could rebuild the structure but not the specific numbers. That said, most of the studies used word lists rather than course material. I finished this feeling more hopeful than I expected."
